Date,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%),Index Market Capitalisation (Rs. Crores)
2018-03-31,RELIANCE,Reliance Industries Ltd.,REFINERIES,65050705050.0,304327.36,7.8,1.18,0.28,1.37,-7.53,0.02,
2018-03-31,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399309346.0,54643.31,1.4,0.89,0.08,1.56,-7.52,0.02,
2018-03-31,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1914287591.0,141806.4,3.63,0.39,0.03,1.54,-6.13,0.02,
2018-03-31,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,60398.71,1.55,1.41,0.27,1.78,-11.64,0.03,
2018-03-31,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266104310.0,44391.21,1.14,1.57,0.3,2.24,-14.97,0.02,
2018-03-31,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4885459220.0,39940.39,1.02,0.53,0.03,1.94,4.25,0.02,
2018-03-31,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1016713494.0,26728.38,0.68,1.31,0.26,1.41,0.21,0.03,
2018-03-31,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2745519210.0,41210.24,1.06,1.12,0.26,1.51,-4.95,0.03,
2018-03-31,VEDL,Vedanta Ltd.,MINING,3717194239.0,51641.12,1.32,1.72,0.28,2.54,-15.74,0.02,
2018-03-31,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,9046701874.0,31793.5,0.81,0.28,0.02,1.59,-3.98,0.02,
2018-03-31,YESBANK,Yes Bank Ltd.,BANKS,4595212580.0,56034.02,1.44,1.32,0.22,2.09,-5.41,0.03,
2018-03-31,SBIN,State Bank of India,BANKS,8632053793.0,92757.46,2.38,1.75,0.2,2.33,-6.75,0.02,
2018-03-31,ICICIBANK,ICICI Bank Ltd.,BANKS,12843505078.0,178749.48,4.58,1.48,0.26,1.88,-11.14,0.03,
2018-03-31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,64166175900.0,50198.48,1.29,0.82,0.13,1.23,-5.58,0.03,
2018-03-31,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3194124080.0,291559.65,7.47,1.07,0.28,1.29,0.93,0.01,
2018-03-31,ITC,I T C Ltd.,CIGARETTES,12188208322.0,217986.11,5.59,1.06,0.18,1.29,-3.6,0.02,
2018-03-31,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458.0,17114.57,0.44,0.96,0.19,1.49,-7.69,0.03,
2018-03-31,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,50510.2,1.29,0.66,0.12,1.2,0.24,0.02,
2018-03-31,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585882409.0,15688.06,0.4,0.98,0.09,1.25,-9.13,0.02,
2018-03-31,AXISBANK,Axis Bank Ltd.,BANKS,5128223384.0,81156.7,2.08,1.24,0.22,1.64,-3.45,0.03,
2018-03-31,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,37328.61,0.96,1.07,0.31,1.2,-9.13,0.03,
2018-03-31,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1153034616.0,41779.95,1.07,1.34,0.2,1.64,7.76,0.02,
2018-03-31,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,33380.9,0.86,0.93,0.12,2.15,-0.49,0.02,
2018-03-31,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510.0,52594.19,1.35,1.22,0.16,2.23,-6.97,0.03,
2018-03-31,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,26113.32,0.67,0.84,0.07,1.98,-3.04,0.03,
2018-03-31,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400.0,16497.27,0.42,0.78,0.14,1.4,-3.58,0.04,
2018-03-31,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,27132.99,0.7,1.29,0.21,2.2,-13.29,0.03,
2018-03-31,COALINDIA,Coal India Ltd.,MINING,62074091770.0,36929.74,0.95,0.71,0.1,1.76,-8.36,0.03,
2018-03-31,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1609889380.0,27660.6,0.71,0.75,0.09,0.92,-7.5,0.02,
2018-03-31,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250.0,25749.02,0.66,1.18,0.11,2.14,-9.29,0.02,
2018-03-31,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2244889146.0,31306.66,0.8,1.71,0.33,2.26,-12.57,0.03,
2018-03-31,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399414042.0,45988.93,1.18,0.86,0.2,1.33,-1.5,0.02,
2018-03-31,HDFCBANK,HDFC Bank Ltd.,BANKS,5176128234.0,385626.47,9.88,0.78,0.32,1.01,0.1,0.03,
2018-03-31,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164478571.0,95238.25,2.44,0.79,0.19,0.86,1.18,0.02,
2018-03-31,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,28154.34,0.72,0.81,0.09,1.49,-4.25,0.02,
2018-03-31,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272367080.0,37866.1,0.97,0.9,0.14,1.38,3.41,0.02,
2018-03-31,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,829436320.0,25194.98,0.65,0.71,0.06,1.14,-7.0,0.03,
2018-03-31,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2784248928.0,53936.47,1.38,0.27,0.02,1.53,3.01,0.02,
2018-09-30,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315182576.0,40303.77,0.93,1.19,0.22,1.8,-4.30913349,0.03,
2018-09-30,ITC,I T C Ltd.,CIGARETTES,12231342282.0,254931.75,5.85,0.84,0.22,1.59,-6.90948882,0.03,
2018-09-30,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3386844276.0,285226.48,6.55,1.22,0.38,2.13,-9.37265942,0.02,
2018-09-30,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164644695.0,114893.28,2.64,0.79,0.18,2.03,-9.64552553,0.02,
2018-09-30,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250.0,18775.09,0.43,1.16,0.12,2.33,-0.92592593,0.03,
2018-09-30,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245349407.0,33516.89,0.77,1.72,0.27,2.44,-3.48812776,0.03,
2018-09-30,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399422910.0,38077.24,0.87,0.72,0.13,2.03,-9.85155818,0.02,
2018-09-30,ICICIBANK,ICICI Bank Ltd.,BANKS,12868342266.0,196596.1,4.51,1.58,0.27,1.36,-10.81436077,0.03,
2018-09-30,HDFCBANK,HDFC Bank Ltd.,BANKS,5429877072.0,430257.89,9.88,0.76,0.27,1.13,-2.67562585,0.02,
2018-09-30,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2785043328.0,60591.4,1.39,0.36,0.02,1.15,3.95145492,0.02,
2018-09-30,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,34186.88,0.78,0.75,0.08,1.62,1.82697474,0.03,
2018-09-30,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,22372.31,0.51,0.64,0.05,2.19,-8.3478564,0.04,
2018-09-30,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830149400.0,30671.94,0.7,0.69,0.06,1.78,1.55096308,0.03,
2018-09-30,COALINDIA,Coal India Ltd.,MINING,62074091770.0,36359.9,0.83,0.55,0.05,1.81,-6.88931631,0.04,
2018-09-30,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1610433594.0,33179.08,0.76,0.86,0.13,1.37,-1.22328777,0.03,
2018-09-30,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000535.0,44659.55,1.03,1.25,0.15,2.08,-11.80148496,0.04,
2018-09-30,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,29218.53,0.67,1.04,0.12,2.39,3.32781,0.02,
2018-09-30,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795675485.0,36320.29,0.83,1.22,0.25,2.14,-10.99024867,0.04,
2018-09-30,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776.0,51374.45,1.18,1.24,0.19,2.52,-24.10558006,0.03,
2018-09-30,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,36549.99,0.84,1.02,0.21,1.86,-2.09118895,0.03,
2018-09-30,AXISBANK,Axis Bank Ltd.,BANKS,5137681032.0,108698.56,2.5,1.34,0.22,1.66,-5.54485945,0.03,
2018-09-30,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853391352.0,28517.91,0.65,1.7,0.26,4.49,-31.95552908,0.09,
2018-09-30,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272677000.0,32974.01,0.76,0.88,0.14,2.31,-13.80750007,0.02,
2018-09-30,IOC,Indian Oil Corporation Ltd.,REFINERIES,97118099280.0,32764.73,0.75,0.97,0.13,1.6,-1.41433623,0.03,
2018-09-30,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,25883.17,0.59,1.27,0.25,1.85,-14.15894558,0.05,
2018-09-30,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21841914900.0,277455.01,6.37,0.49,0.06,1.21,1.3184373,0.02,
2018-09-30,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,58304.93,1.34,0.74,0.16,1.55,-5.76705891,0.03,
2018-09-30,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960463070.0,24433.03,0.56,0.66,0.1,1.22,-12.27122712,0.03,
2018-09-30,YESBANK,Yes Bank Ltd.,BANKS,4616253240.0,33911.0,0.78,1.55,0.14,7.12,-46.5356623,0.04,
2018-09-30,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,9048094464.0,36644.78,0.84,0.33,0.03,1.2,7.55186722,0.02,
2018-09-30,VEDL,Vedanta Ltd.,MINING,3717196639.0,43175.24,0.99,1.7,0.29,2.24,2.02020202,0.02,
2018-09-30,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2746258690.0,42368.76,0.97,1.2,0.3,1.76,-9.28499609,0.03,
2018-09-30,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1018685340.0,24361.66,0.56,1.47,0.22,2.6,-7.12987558,0.03,
2018-09-30,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,33614.42,0.77,1.03,0.11,1.89,-9.67597264,0.02,
2018-09-30,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4903657745.0,46792.66,1.07,0.5,0.03,1.84,-2.65082267,0.03,
2018-09-30,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266107550.0,43874.45,1.01,1.73,0.35,1.99,-3.20566195,0.03,
2018-09-30,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,41337.59,0.95,1.34,0.22,1.98,-16.37383178,0.03,
2018-09-30,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3828575182.0,234092.87,5.38,0.22,0.01,1.51,5.06639723,0.02,
2018-09-30,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399324674.0,68787.44,1.58,1.05,0.12,1.96,-4.53396645,0.02,
2018-09-30,SBIN,State Bank of India,BANKS,8924587534.0,99518.08,2.29,1.76,0.2,1.69,-14.24418605,0.02,
2018-09-30,RELIANCE,Reliance Industries Ltd.,REFINERIES,63384392110.0,430565.74,9.89,1.21,0.31,1.29,1.3127693,0.03,
2018-09-30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,43367.79,1.0,0.59,0.1,2.06,-6.50124069,0.04,
2018-09-30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,64166175900.0,50029.08,1.15,0.87,0.14,1.41,-1.58289364,0.03,
2018-09-30,NTPC,NTPC Ltd.,POWER,82454644000.0,52278.72,1.2,0.73,0.18,1.04,-2.71137026,0.03,
2018-09-30,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,97665.44,2.24,1.0,0.27,1.54,-19.22134031,0.02,
2018-09-30,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720.0,80274.5,1.84,0.97,0.2,2.19,-10.81011085,0.02,
2018-09-30,LT,Larsen & Toubro Ltd.,ENGINEERING,2803974072.0,156945.16,3.6,1.24,0.36,1.0,-7.11547589,0.03,
2018-09-30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9534034035.0,152376.75,3.5,0.98,0.25,1.71,-11.31481841,0.02,
2018-09-30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440.0,39668.88,0.91,1.47,0.26,1.86,-3.70884319,0.03,
2018-09-30,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6010120300.0,86337.93,1.98,0.83,0.19,1.76,-11.35791461,0.03,
2019-03-31,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,12067753442.0,38435.79,0.82,0.49,0.07,1.78,-7.91,0.02,
2019-03-31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,45554.59,0.97,0.6,0.12,1.63,8.23,0.03,
2019-03-31,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700.0,28590.3,0.61,1.44,0.27,2.48,3.42,0.02,
2019-03-31,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3437401980.0,324751.99,6.94,1.2,0.42,0.91,6.9,0.01,
2019-03-31,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164671952.0,121923.85,2.61,0.74,0.18,0.84,-1.49,0.01,
2019-03-31,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399453768.0,33145.63,0.71,0.93,0.17,1.65,-2.85,0.02,
2019-03-31,HDFCBANK,HDFC Bank Ltd.,BANKS,5446613220.0,498890.98,10.67,0.66,0.27,0.85,11.62,0.02,
2019-03-31,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2712526216.0,58994.73,1.26,0.56,0.06,1.6,3.18,0.02,
2019-03-31,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315196726.0,33851.19,0.72,1.21,0.27,1.4,10.41,0.02,
2019-03-31,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,31359.02,0.67,0.85,0.12,1.27,1.65,0.02,
2019-03-31,YESBANK,Yes Bank Ltd.,BANKS,4627651922.0,50922.68,1.09,1.05,0.04,1.99,19.01,0.03,
2019-03-31,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830304305.0,33703.42,0.72,0.51,0.04,1.15,5.65,0.02,
2019-03-31,COALINDIA,Coal India Ltd.,MINING,62074091770.0,39754.73,0.85,0.51,0.06,1.84,3.9,0.03,
2019-03-31,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1611398096.0,26846.46,0.57,0.76,0.14,0.5,-4.63,0.02,
2019-03-31,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294.0,36333.6,0.78,0.88,0.23,1.03,0.94,0.02,
2019-03-31,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,26664.69,0.57,0.19,0.01,1.83,6.73,0.03,
2019-03-31,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000535.0,43940.62,0.94,1.17,0.18,2.76,4.73,0.03,
2019-03-31,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,31045.91,0.66,1.54,0.2,2.34,17.78,0.02,
2019-03-31,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795680555.0,42554.25,0.91,1.45,0.34,0.82,8.89,0.02,
2019-03-31,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776.0,71682.53,1.53,1.44,0.26,1.44,14.19,0.02,
2019-03-31,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,39591.69,0.85,0.87,0.18,0.87,0.36,0.02,
2019-03-31,AXISBANK,Axis Bank Ltd.,BANKS,5142458262.0,151885.08,3.25,1.2,0.25,1.49,9.54,0.02,
2019-03-31,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,67294.34,1.44,0.99,0.3,1.01,6.23,0.01,
2019-03-31,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,29758.96,0.64,1.39,0.25,1.47,16.05,0.03,
2019-03-31,ITC,I T C Ltd.,CIGARETTES,12253905922.0,254973.15,5.45,0.88,0.28,1.02,7.68,0.02,
2019-03-31,ICICIBANK,ICICI Bank Ltd.,BANKS,12889191588.0,258106.06,5.52,1.3,0.29,1.46,14.38,0.02,
2019-03-31,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245530245.0,29994.67,0.64,1.43,0.23,1.55,4.98,0.02,
2019-03-31,IOC,Indian Oil Corporation Ltd.,REFINERIES,94141589220.0,38327.39,0.82,1.35,0.18,2.4,12.62,0.03,
2019-03-31,VEDL,Vedanta Ltd.,MINING,3717196639.0,33596.21,0.72,1.35,0.17,2.03,8.88,0.03,
2019-03-31,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2746405120.0,41728.14,0.89,1.15,0.29,1.38,4.49,0.02,
2019-03-31,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960466500.0,24817.49,0.53,0.79,0.05,2.53,-4.54,0.03,
2019-03-31,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1018685340.0,35163.59,0.75,1.28,0.22,1.37,9.26,0.02,
2019-03-31,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,47644.78,1.02,0.89,0.17,0.89,11.38,0.02,
2019-03-31,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4916812350.0,48831.42,1.04,0.7,0.09,1.19,-6.53,0.02,
2019-03-31,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266144590.0,39326.73,0.84,1.3,0.27,1.67,4.11,0.02,
2019-03-31,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,854806678.0,28611.88,0.61,2.29,0.27,3.48,30.98,0.03,
2019-03-31,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3752384706.0,210306.9,4.5,0.44,0.05,0.89,0.92,0.02,
2019-03-31,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970.0,52850.39,1.13,0.85,0.09,1.46,7.57,0.02,
2019-03-31,SBIN,State Bank of India,BANKS,8924611534.0,120227.9,2.57,1.37,0.33,1.37,19.22,0.02,
2019-03-31,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,31696.59,0.68,1.45,0.2,2.51,-1.8,0.03,
2019-03-31,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6026855580.0,91186.32,1.95,1.0,0.23,1.96,20.77,0.02,
2019-03-31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,62901396030.0,48232.79,1.03,1.01,0.18,2.04,7.47,0.03,
2019-03-31,NTPC,NTPC Ltd.,POWER,98945572800.0,54644.67,1.17,0.64,0.12,2.42,14.44,0.03,
2019-03-31,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,88688.35,1.9,1.13,0.3,1.38,-2.3,0.02,
2019-03-31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720.0,62834.06,1.34,1.27,0.33,1.25,4.34,0.02,
2019-03-31,LT,Larsen & Toubro Ltd.,ENGINEERING,2805249138.0,170988.91,3.66,0.97,0.31,1.3,7.14,0.02,
2019-03-31,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9540170005.0,178239.0,3.81,0.99,0.24,1.36,10.01,0.02,
2019-03-31,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440.0,29751.39,0.64,1.25,0.25,1.62,4.25,0.02,
2019-03-31,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21844657220.0,282735.18,6.04,0.61,0.1,1.1,1.3,0.02,
2019-03-31,RELIANCE,Reliance Industries Ltd.,REFINERIES,63386926930.0,466626.03,9.98,1.44,0.43,1.56,10.74,0.01,
2019-09-30,NESTLEIND,Nestle India Ltd.,FOOD AND FOOD PROCESSING,964157160.0,49549.68,1.05,0.62,0.17,1.96,7.88,0.02,
2019-09-30,NTPC,NTPC Ltd.,POWER,98945572800.0,51154.86,1.09,0.54,0.11,1.65,-3.41,0.04,
2019-09-30,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,89263.21,1.89,1.37,0.42,3.67,9.67,0.02,
2019-09-30,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720.0,52376.39,1.11,1.44,0.48,3.18,3.47,0.02,
2019-09-30,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6929662570.0,83411.55,1.77,1.5,0.36,3.77,-0.87,0.03,
2019-09-30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9549068405.0,219841.52,4.66,0.99,0.34,2.23,14.88,0.02,
2019-09-30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440.0,23345.27,0.5,1.36,0.37,2.78,5.75,0.03,
2019-09-30,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21292060890.0,295047.92,6.26,0.33,0.04,1.86,-1.14,0.02,
2019-09-30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,62901396030.0,41452.02,0.88,1.16,0.28,2.84,8.75,0.03,
2019-09-30,LT,Larsen & Toubro Ltd.,ENGINEERING,2806531164.0,182051.26,3.86,1.21,0.51,2.99,10.99,0.03,
2019-09-30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,46860.66,0.99,0.34,0.06,1.69,-0.72,0.03,
2019-09-30,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1528028010.0,33222.69,0.7,0.91,0.18,1.72,7.24,0.03,
2019-09-30,SBIN,State Bank of India,BANKS,8924611534.0,103921.75,2.2,1.55,0.52,3.61,-1.11,0.03,
2019-09-30,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970.0,42983.37,0.91,0.57,0.06,1.38,-13.53,0.03,
2019-09-30,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3752384706.0,220566.67,4.68,0.38,0.06,1.27,-7.09,0.02,
2019-09-30,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,21025.38,0.45,1.66,0.25,4.38,0.64,0.04,
2019-09-30,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11264895180.0,27208.66,0.58,1.34,0.33,3.04,4.52,0.03,
2019-09-30,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4823575740.0,44114.49,0.94,0.4,0.05,1.65,3.01,0.03,
2019-09-30,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,53119.22,1.13,0.96,0.25,2.61,15.2,0.02,
2019-09-30,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960481765.0,16320.51,0.35,0.77,0.04,3.32,-28.84,0.04,
2019-09-30,YESBANK,Yes Bank Ltd.,BANKS,5100619862.0,8657.79,0.18,1.48,0.08,6.33,-30.94,0.09,
2019-09-30,IOC,Indian Oil Corporation Ltd.,REFINERIES,94141589220.0,36078.82,0.77,1.46,0.3,2.67,20.38,0.03,
2019-09-30,RELIANCE,Reliance Industries Ltd.,REFINERIES,63391220990.0,456045.95,9.68,1.17,0.36,1.94,6.7,0.02,
2019-09-30,ITC,ITC Ltd.,CIGARETTES,12284983252.0,223457.7,4.74,0.79,0.33,1.97,5.78,0.03,
2019-09-30,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,11424565304.0,35614.94,0.76,0.34,0.05,1.28,-5.74,0.02,
2019-09-30,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3447303964.0,340774.62,7.23,1.18,0.48,2.08,-8.74,0.02,
2019-09-30,VEDL,Vedanta Ltd.,MINING,3717196639.0,28077.29,0.6,1.39,0.24,3.2,10.78,0.03,
2019-09-30,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,32576.28,0.69,1.33,0.32,2.26,13.19,0.03,
2019-09-30,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,79441.77,1.69,0.99,0.36,2.68,9.03,0.02,
2019-09-30,AXISBANK,Axis Bank Ltd.,BANKS,5240552628.0,138206.47,2.93,1.21,0.43,2.81,3.18,0.03,
2019-09-30,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,38306.7,0.81,0.89,0.31,2.23,5.51,0.03,
2019-09-30,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1159788396.0,96197.52,2.04,1.62,0.43,3.08,21.41,0.02,
2019-09-30,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795680555.0,51479.58,1.09,1.48,0.45,2.51,19.57,0.03,
2019-09-30,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,37731.33,0.8,1.63,0.31,3.91,32.33,0.03,
2019-09-30,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,25659809250.0,69696.4,1.48,1.01,0.19,2.14,5.84,0.03,
2019-09-30,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,21891.59,0.46,0.39,0.04,1.35,2.74,0.03,
2019-09-30,ICICIBANK,ICICI Bank Ltd.,BANKS,12916216132.0,280088.15,5.94,1.36,0.48,3.04,5.87,0.03,
2019-09-30,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294.0,34669.12,0.74,0.84,0.25,2.96,8.98,0.02,
2019-09-30,COALINDIA,Coal India Ltd.,MINING,61627283270.0,35717.02,0.76,0.62,0.12,2.52,8.17,0.03,
2019-09-30,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830728740.0,32774.62,0.7,0.3,0.03,1.57,5.66,0.02,
